cook1ewooki, LOL
, 2023-09-10 4:16:30 AM
imkuro7, @AnotherChatter winter 2024
, 2023-09-10 4:16:32 AM
aq0ny, @bloodbracelets in valorant its useless in cs it actually stretches the models
, 2023-09-10 4:16:33 AM
donny_xd, @CoolSmek leftovers
, 2023-09-10 4:16:35 AM
horstee, does shroud actually use logitech g303
, 2023-09-10 4:16:38 AM
Fossabot, Check out Mike's Instagram account - http://www.instagram.com/shroud :D
, 2023-09-10 4:16:40 AM
AnotherChatter, @imkuro7 really...
, 2023-09-10 4:16:41 AM
Technical_13, what about second breakfast
, 2023-09-10 4:16:41 AM
friend_001, shrut
, 2023-09-10 4:16:41 AM
lonewolf_1930, @shroud play with M0e and stewie
, 2023-09-10 4:16:45 AM
heydizo, !mouse
, 2023-09-10 4:16:49 AM
Fossabot, @heydizo He's using the Logitech G303 Shroud Edition Wireless - With a Logitech G840 XL Gaming Mousepad shroud Edition. Grab one while you can!
, 2023-09-10 4:16:49 AM
nadleeeeh, !squad
, 2023-09-10 4:16:49 AM
Fossabot, @nadleeeeh, He's playing with Just9n
, 2023-09-10 4:16:50 AM
ZumyPC, @horstee trying the superlight 2 rn
, 2023-09-10 4:16:53 AM
IIIKRYPTIK, food recycler
, 2023-09-10 4:16:55 AM
vrtualgrlfriend, @bloodbracelets this isnt valorant bro
, 2023-09-10 4:16:56 AM
spackle_pirate, KEKW
, 2023-09-10 4:16:57 AM
thedivinehero, Come on shroud you got this!
, 2023-09-10 4:17:00 AM
ItsJustKuma, I havent played dust 2 AT ALL on comp
, 2023-09-10 4:17:02 AM
jhinsnirico, GERD moment
, 2023-09-10 4:17:02 AM
Timmy_0925, !time
, 2023-09-10 4:17:04 AM
horstee, ty @ZumyPC
, 2023-09-10 4:17:04 AM
Fossabot, @Timmy_0925 Mike's local date/time is Sat, Sep 9th - 09:17PM PDT
, 2023-09-10 4:17:04 AM
